Iteration 1, loss = 0.69790717
Iteration 2, loss = 0.70815655
Iteration 3, loss = 1.01583778
Iteration 4, loss = 0.63763957
Iteration 5, loss = 0.68787805
Iteration 6, loss = 0.80155187
Iteration 7, loss = 0.77284938
Iteration 8, loss = 0.54927422
Iteration 9, loss = 0.75796275
Iteration 10, loss = 0.76196946
Iteration 11, loss = 0.52259413
Iteration 12, loss = 0.55631877
Iteration 13, loss = 0.56618472
Iteration 14, loss = 0.61187928
Iteration 15, loss = 0.58969362
Iteration 16, loss = 0.49158965
Iteration 17, loss = 0.50500325
Iteration 18, loss = 0.59453173
Iteration 19, loss = 0.50942972
Iteration 20, loss = 0.46691211
Iteration 21, loss = 0.68959679
Iteration 22, loss = 0.45674278
Iteration 23, loss = 0.48914693
Iteration 24, loss = 0.48566044
Iteration 25, loss = 0.43310822
Iteration 26, loss = 0.45094146
Iteration 27, loss = 0.45018869
Iteration 28, loss = 0.42635054
Iteration 29, loss = 0.31412370
Iteration 30, loss = 0.38447907
Iteration 31, loss = 0.36107466
Iteration 32, loss = 0.38673981
Iteration 33, loss = 0.33851838
Iteration 34, loss = 0.40401917
Iteration 35, loss = 0.40741836
Iteration 36, loss = 0.34753880
Iteration 37, loss = 0.28900481
Iteration 38, loss = 0.33554531
Iteration 39, loss = 0.39788059
Iteration 40, loss = 0.37082412
Iteration 41, loss = 0.30721446
Iteration 42, loss = 0.25229091
Iteration 43, loss = 0.31264029
Iteration 44, loss = 0.32523802
Iteration 45, loss = 0.34329092
Iteration 46, loss = 0.31310102
Iteration 47, loss = 0.29752445
Iteration 48, loss = 0.27291355
Iteration 49, loss = 0.26413586
Iteration 50, loss = 0.26287817
Iteration 51, loss = 0.24767950
Iteration 52, loss = 0.23309265
Iteration 53, loss = 0.21863255
Iteration 54, loss = 0.25857345
Iteration 55, loss = 0.22845746
Iteration 56, loss = 0.21773846
Iteration 57, loss = 0.19887341
Iteration 58, loss = 0.23207205
Iteration 59, loss = 0.23490993
Iteration 60, loss = 0.22566849
Iteration 61, loss = 0.21677950
Iteration 62, loss = 0.21282306
Iteration 63, loss = 0.19610651
Iteration 64, loss = 0.19949787
Iteration 65, loss = 0.23572742
Iteration 66, loss = 0.18620386
Iteration 67, loss = 0.17925818
Iteration 68, loss = 0.19203592
Iteration 69, loss = 0.19424092
Iteration 70, loss = 0.18931912
Iteration 71, loss = 0.18013781
Iteration 72, loss = 0.16283259
Iteration 73, loss = 0.16094452
Iteration 74, loss = 0.16491071
Iteration 75, loss = 0.18139795
Iteration 76, loss = 0.19934918
Iteration 77, loss = 0.19239582
Iteration 78, loss = 0.16289894
Iteration 79, loss = 0.23916986
Iteration 80, loss = 0.16980246
Iteration 81, loss = 0.13566886
Iteration 82, loss = 0.15088936
Iteration 83, loss = 0.13760421
Iteration 84, loss = 0.11451802
Iteration 85, loss = 0.12027738
Iteration 86, loss = 0.12279309
Iteration 87, loss = 0.12728505
Iteration 88, loss = 0.13824735
Iteration 89, loss = 0.11306748
Iteration 90, loss = 0.10672926
Iteration 91, loss = 0.11581860
Iteration 92, loss = 0.11645739
Iteration 93, loss = 0.10830003
Iteration 94, loss = 0.09883661
Iteration 95, loss = 0.10830483
Iteration 96, loss = 0.12447762
Iteration 97, loss = 0.11918043
Iteration 98, loss = 0.11190857
Iteration 99, loss = 0.10450522
Iteration 100, loss = 0.14695810
Iteration 101, loss = 0.11932854
Iteration 102, loss = 0.26241040
Iteration 103, loss = 0.20397952
Iteration 104, loss = 0.20876673
Iteration 105, loss = 0.09459314
Iteration 106, loss = 0.11944169
Iteration 107, loss = 0.18938837
Iteration 108, loss = 0.13218599
Iteration 109, loss = 0.28936792
Iteration 110, loss = 0.32686020
Iteration 111, loss = 0.12828043
Iteration 112, loss = 0.38642861
Iteration 113, loss = 0.14250403
Iteration 114, loss = 0.30060748
Iteration 115, loss = 0.18620125
Iteration 116, loss = 0.14365690
Iteration 117, loss = 0.20206539
Iteration 118, loss = 0.12673789
Iteration 119, loss = 0.17115886
Iteration 120, loss = 0.17274793
Iteration 121, loss = 0.15227265
Iteration 122, loss = 0.13730632
Iteration 123, loss = 0.15995707
Iteration 124, loss = 0.12820020
Iteration 125, loss = 0.14429620
Iteration 126, loss = 0.14940903
Iteration 127, loss = 0.11499799
Iteration 128, loss = 0.13924723
Iteration 129, loss = 0.11933168
Iteration 130, loss = 0.11408283
Iteration 131, loss = 0.11198621
Iteration 132, loss = 0.10520300
Iteration 133, loss = 0.11377163
Iteration 134, loss = 0.09552882
Iteration 135, loss = 0.10501738
Iteration 136, loss = 0.08473156
Iteration 137, loss = 0.08730197
Iteration 138, loss = 0.08520861
