Iteration 1, loss = 0.71053964
Iteration 2, loss = 0.92111090
Iteration 3, loss = 0.69538675
Iteration 4, loss = 0.67832114
Iteration 5, loss = 0.68282551
Iteration 6, loss = 0.69682580
Iteration 7, loss = 0.71272427
Iteration 8, loss = 0.58610782
Iteration 9, loss = 0.62522542
Iteration 10, loss = 0.62385682
Iteration 11, loss = 0.60043590
Iteration 12, loss = 0.54788983
Iteration 13, loss = 0.59398564
Iteration 14, loss = 0.60378516
Iteration 15, loss = 0.59065815
Iteration 16, loss = 0.59965159
Iteration 17, loss = 0.66619446
Iteration 18, loss = 0.65189637
Iteration 19, loss = 0.60314023
Iteration 20, loss = 0.56365713
Iteration 21, loss = 0.58763103
Iteration 22, loss = 0.54933973
Iteration 23, loss = 0.49436348
Iteration 24, loss = 0.69996991
Iteration 25, loss = 0.66563138
Iteration 26, loss = 0.59019779
Iteration 27, loss = 0.46979657
Iteration 28, loss = 0.55687753
Iteration 29, loss = 0.59144938
Iteration 30, loss = 0.53695628
Iteration 31, loss = 0.41178132
Iteration 32, loss = 0.38564825
Iteration 33, loss = 0.37221650
Iteration 34, loss = 0.33501924
Iteration 35, loss = 0.29434232
Iteration 36, loss = 0.29457348
Iteration 37, loss = 0.34680309
Iteration 38, loss = 0.33247817
Iteration 39, loss = 0.31399509
Iteration 40, loss = 0.29280385
Iteration 41, loss = 0.26046516
Iteration 42, loss = 0.22401996
Iteration 43, loss = 0.24914759
Iteration 44, loss = 0.26028888
Iteration 45, loss = 0.22938013
Iteration 46, loss = 0.22361978
Iteration 47, loss = 0.22806177
Iteration 48, loss = 0.19869424
Iteration 49, loss = 0.20706501
Iteration 50, loss = 0.19824009
Iteration 51, loss = 0.19948954
Iteration 52, loss = 0.18118616
Iteration 53, loss = 0.22274058
Iteration 54, loss = 0.20993720
Iteration 55, loss = 0.19499223
Iteration 56, loss = 0.19489739
Iteration 57, loss = 0.17310264
Iteration 58, loss = 0.18284219
Iteration 59, loss = 0.18227020
Iteration 60, loss = 0.17499282
Iteration 61, loss = 0.16622088
Iteration 62, loss = 0.15539290
Iteration 63, loss = 0.15349693
Iteration 64, loss = 0.14745052
Iteration 65, loss = 0.16427687
Iteration 66, loss = 0.14393777
Iteration 67, loss = 0.14565016
Iteration 68, loss = 0.15606902
Iteration 69, loss = 0.18000315
Iteration 70, loss = 0.14740825
Iteration 71, loss = 0.18862889
Iteration 72, loss = 0.24160940
Iteration 73, loss = 0.20412940
Iteration 74, loss = 0.15205688
Iteration 75, loss = 0.20061659
Iteration 76, loss = 0.14923074
Iteration 77, loss = 0.24162242
Iteration 78, loss = 0.12720727
Iteration 79, loss = 0.16873336
Iteration 80, loss = 0.17061859
Iteration 81, loss = 0.14408778
Iteration 82, loss = 0.16379585
Iteration 83, loss = 0.15134430
Iteration 84, loss = 0.15431402
Iteration 85, loss = 0.13923090
Iteration 86, loss = 0.12699283
Iteration 87, loss = 0.14268143
Iteration 88, loss = 0.11400743
Iteration 89, loss = 0.13214474
Iteration 90, loss = 0.10980191
Iteration 91, loss = 0.10605830
Iteration 92, loss = 0.10517593
Iteration 93, loss = 0.09298331
Iteration 94, loss = 0.09377850
Iteration 95, loss = 0.10239087
Iteration 96, loss = 0.09027933
Iteration 97, loss = 0.11153803
Iteration 98, loss = 0.09744345
Iteration 99, loss = 0.08443413
Iteration 100, loss = 0.09668553
Iteration 101, loss = 0.09348862
Iteration 102, loss = 0.08458574
Iteration 103, loss = 0.08549340
Iteration 104, loss = 0.07622173
Iteration 105, loss = 0.07660039
Iteration 106, loss = 0.08090625
Iteration 107, loss = 0.09209594
Iteration 108, loss = 0.08339385
Iteration 109, loss = 0.08417009
Iteration 110, loss = 0.07686577
Iteration 111, loss = 0.08628242
Iteration 112, loss = 0.07475553
Iteration 113, loss = 0.07600410
Iteration 114, loss = 0.07160052
Iteration 115, loss = 0.07355911
Iteration 116, loss = 0.08056619
Iteration 117, loss = 0.07408115
Iteration 118, loss = 0.07242768
Iteration 119, loss = 0.07997491
Iteration 120, loss = 0.06556788
Iteration 121, loss = 0.07993032
Iteration 122, loss = 0.07860471
Iteration 123, loss = 0.06687371
Iteration 124, loss = 0.06291528
Iteration 125, loss = 0.06771960
Iteration 126, loss = 0.06811283
Iteration 127, loss = 0.06639077
Iteration 128, loss = 0.06127853
Iteration 129, loss = 0.06131985
Iteration 130, loss = 0.06726360
Iteration 131, loss = 0.07055674
Iteration 132, loss = 0.06265449
Iteration 133, loss = 0.05888481
Iteration 134, loss = 0.06097022
Iteration 135, loss = 0.06707673
Iteration 136, loss = 0.06646834
Iteration 137, loss = 0.07337769
Iteration 138, loss = 0.06707847
Iteration 139, loss = 0.05995534
Iteration 140, loss = 0.05797273
Iteration 141, loss = 0.06002188
Iteration 142, loss = 0.06462650
Iteration 143, loss = 0.05683044
Iteration 144, loss = 0.06943392
Iteration 145, loss = 0.15931613
Iteration 146, loss = 0.47760801
Iteration 147, loss = 0.42209859
Iteration 148, loss = 0.62438524
Iteration 149, loss = 0.62587877
Iteration 150, loss = 0.56303625
Iteration 151, loss = 0.58408617
Iteration 152, loss = 0.65831703
Iteration 153, loss = 0.66568987
Iteration 154, loss = 0.60646608
Iteration 155, loss = 0.56007139
Iteration 156, loss = 0.56819755
Iteration 157, loss = 0.58433459
Iteration 158, loss = 0.56702297
Iteration 159, loss = 0.51881744
Iteration 160, loss = 0.47876086
Iteration 161, loss = 0.43906586
Iteration 162, loss = 0.42063565
Iteration 163, loss = 0.38041879
Iteration 164, loss = 0.29407744
Iteration 165, loss = 0.24715067
Iteration 166, loss = 0.20073407
Iteration 167, loss = 0.17366390
Iteration 168, loss = 0.21449096
Iteration 169, loss = 0.19545036
Iteration 170, loss = 0.16693442
Iteration 171, loss = 0.19548528
Iteration 172, loss = 0.20508172
Iteration 173, loss = 0.19931820
Iteration 174, loss = 0.19589811
Iteration 175, loss = 0.18194989
Iteration 176, loss = 0.20921453
Iteration 177, loss = 0.17297688
Iteration 178, loss = 0.16940063
Iteration 179, loss = 0.16550715
Iteration 180, loss = 0.15467402
Iteration 181, loss = 0.12417245
Iteration 182, loss = 0.12735410
Iteration 183, loss = 0.11633828
Iteration 184, loss = 0.10741132
Iteration 185, loss = 0.11211535
Iteration 186, loss = 0.10832505
Iteration 187, loss = 0.11240234
Iteration 188, loss = 0.10547127
Iteration 189, loss = 0.11228136
Iteration 190, loss = 0.10282623
Iteration 191, loss = 0.11271705
Iteration 192, loss = 0.09776755
Iteration 193, loss = 0.11065658
Iteration 194, loss = 0.09492162
Iteration 195, loss = 0.10226468
Iteration 196, loss = 0.09277950
Iteration 197, loss = 0.09274628
Iteration 198, loss = 0.08659287
Iteration 199, loss = 0.08958592
Iteration 200, loss = 0.08767239
Iteration 201, loss = 0.08510911
Iteration 202, loss = 0.08174038
Iteration 203, loss = 0.08340682
Iteration 204, loss = 0.07982980
Iteration 205, loss = 0.08173242
Iteration 206, loss = 0.08240638
Iteration 207, loss = 0.07755913
Iteration 208, loss = 0.07804651
Iteration 209, loss = 0.07911692
Iteration 210, loss = 0.07531890
Iteration 211, loss = 0.07675019
Iteration 212, loss = 0.07800103
Iteration 213, loss = 0.07336979
Iteration 214, loss = 0.07968766
Iteration 215, loss = 0.08252031
Iteration 216, loss = 0.07522933
Iteration 217, loss = 0.08988742
Iteration 218, loss = 0.07937774
Iteration 219, loss = 0.08439354
Iteration 220, loss = 0.07255724
Iteration 221, loss = 0.07881755
Iteration 222, loss = 0.08642101
Iteration 223, loss = 0.07848739
Iteration 224, loss = 0.07136968
Iteration 225, loss = 0.07437249
Iteration 226, loss = 0.07685895
Iteration 227, loss = 0.08569788
Iteration 228, loss = 0.07742240
Iteration 229, loss = 0.06805902
Iteration 230, loss = 0.07153087
Iteration 231, loss = 0.07319530
Iteration 232, loss = 0.06747006
Iteration 233, loss = 0.07326391
Iteration 234, loss = 0.06732050
Iteration 235, loss = 0.07108616
Iteration 236, loss = 0.06740660
Iteration 237, loss = 0.06795003
Iteration 238, loss = 0.06478439
Iteration 239, loss = 0.06602740
Iteration 240, loss = 0.06473545
Iteration 241, loss = 0.06514458
Iteration 242, loss = 0.06234252
Iteration 243, loss = 0.06360968
Iteration 244, loss = 0.06184188
Iteration 245, loss = 0.06145751
Iteration 246, loss = 0.06230404
Iteration 247, loss = 0.06091778
Iteration 248, loss = 0.06057149
Iteration 249, loss = 0.06128293
Iteration 250, loss = 0.06042140
Iteration 251, loss = 0.05984474
Iteration 252, loss = 0.06024174
Iteration 253, loss = 0.05991187
Iteration 254, loss = 0.05918880
Iteration 255, loss = 0.05894459
Iteration 256, loss = 0.05905854
Iteration 257, loss = 0.05893949
Iteration 258, loss = 0.05840170
Iteration 259, loss = 0.05792329
Iteration 260, loss = 0.05768158
Iteration 261, loss = 0.05764611
Iteration 262, loss = 0.05774880
Iteration 263, loss = 0.05775949
Iteration 264, loss = 0.05782254
Iteration 265, loss = 0.05731054
Iteration 266, loss = 0.05700167
Iteration 267, loss = 0.05666082
Iteration 268, loss = 0.05652934
Iteration 269, loss = 0.05648707
Iteration 270, loss = 0.05691738
Iteration 271, loss = 0.05705985
Iteration 272, loss = 0.05830485
Iteration 273, loss = 0.05599692
Iteration 274, loss = 0.05526679
Iteration 275, loss = 0.05496077
Iteration 276, loss = 0.05480115
Iteration 277, loss = 0.05480211
Iteration 278, loss = 0.05548320
Iteration 279, loss = 0.05713184
Iteration 280, loss = 0.06247717
Iteration 281, loss = 0.05400756
Iteration 282, loss = 0.06001052
Iteration 283, loss = 0.09067651
Iteration 284, loss = 0.23940461
Iteration 285, loss = 0.06773101
Iteration 286, loss = 0.14672686
Iteration 287, loss = 0.27581964
Iteration 288, loss = 0.05924952
Iteration 289, loss = 0.36188919
Iteration 290, loss = 0.17892895
Iteration 291, loss = 0.51072386
Iteration 292, loss = 0.64008738
Iteration 293, loss = 1.05663973
Iteration 294, loss = 0.95396348
Iteration 295, loss = 0.59954875
Iteration 296, loss = 0.30761200
Iteration 297, loss = 0.23638328
Iteration 298, loss = 0.60189829
Iteration 299, loss = 0.60348780
Iteration 300, loss = 0.21635995
Iteration 301, loss = 0.21112571
Iteration 302, loss = 0.50664851
Iteration 303, loss = 0.18817784
Iteration 304, loss = 0.13472043
Iteration 305, loss = 0.24318350
Iteration 306, loss = 0.23199179
Iteration 307, loss = 0.14225719
Iteration 308, loss = 0.19307664
Iteration 309, loss = 0.25038483
Iteration 310, loss = 0.17011669
Iteration 311, loss = 0.18389463
Iteration 312, loss = 0.38648347
Iteration 313, loss = 0.20621622
Iteration 314, loss = 0.11436588
Iteration 315, loss = 0.25062357
Iteration 316, loss = 0.18044285
Iteration 317, loss = 0.13859967
Iteration 318, loss = 0.17466390
Iteration 319, loss = 0.20080158
Iteration 320, loss = 0.17236524
Iteration 321, loss = 0.14430242
Iteration 322, loss = 0.14160169
Iteration 323, loss = 0.19025560
Iteration 324, loss = 0.12220912
Iteration 325, loss = 0.15416612
Iteration 326, loss = 0.18290480
Iteration 327, loss = 0.18488388
Iteration 328, loss = 0.15503678
Iteration 329, loss = 0.09577818
Iteration 330, loss = 0.15141734
Iteration 331, loss = 0.11602368
Iteration 332, loss = 0.10664726
Iteration 333, loss = 0.12027191
Iteration 334, loss = 0.08898805
Iteration 335, loss = 0.10532805
Iteration 336, loss = 0.10656468
Iteration 337, loss = 0.08408920
Iteration 338, loss = 0.10692905
Iteration 339, loss = 0.09010323
Iteration 340, loss = 0.09621193
Iteration 341, loss = 0.12583316
Iteration 342, loss = 0.10572248
Iteration 343, loss = 0.14236093
Iteration 344, loss = 0.10690170
Iteration 345, loss = 0.09684511
Iteration 346, loss = 0.17754618
Iteration 347, loss = 0.09855158
Iteration 348, loss = 0.09138591
Iteration 349, loss = 0.11075216
Iteration 350, loss = 0.08670294
Iteration 351, loss = 0.10110800
Iteration 352, loss = 0.11859547
Iteration 353, loss = 0.08446191
Iteration 354, loss = 0.12319394
Iteration 355, loss = 0.10782364
Iteration 356, loss = 0.08598746
Iteration 357, loss = 0.10051735
Iteration 358, loss = 0.09341246
Iteration 359, loss = 0.08390574
Iteration 360, loss = 0.08942370
Iteration 361, loss = 0.08495681
Iteration 362, loss = 0.08341310
Iteration 363, loss = 0.08834607
Iteration 364, loss = 0.08825968
Iteration 365, loss = 0.08318783
Iteration 366, loss = 0.07958846
Iteration 367, loss = 0.08888602
Iteration 368, loss = 0.07832081
Iteration 369, loss = 0.08366133
Iteration 370, loss = 0.08508365
Iteration 371, loss = 0.08041287
Iteration 372, loss = 0.07703950
Iteration 373, loss = 0.08289463
Iteration 374, loss = 0.07534585
Iteration 375, loss = 0.08020953
Iteration 376, loss = 0.07973501
Iteration 377, loss = 0.07423578
Iteration 378, loss = 0.07778710
Iteration 379, loss = 0.07525809
Iteration 380, loss = 0.07442083
Iteration 381, loss = 0.07489345
Iteration 382, loss = 0.07335109
Iteration 383, loss = 0.07442558
Iteration 384, loss = 0.07242970
Iteration 385, loss = 0.07385277
Iteration 386, loss = 0.07187551
Iteration 387, loss = 0.07258994
Iteration 388, loss = 0.07222697
Iteration 389, loss = 0.07115777
Iteration 390, loss = 0.07181361
Iteration 391, loss = 0.07067506
Iteration 392, loss = 0.07119542
Iteration 393, loss = 0.07003264
Iteration 394, loss = 0.07072029
Iteration 395, loss = 0.06959498
Iteration 396, loss = 0.07001328
Iteration 397, loss = 0.06925250
Iteration 398, loss = 0.06945487
Iteration 399, loss = 0.06883054
Iteration 400, loss = 0.06889960
Iteration 401, loss = 0.06848889
Iteration 402, loss = 0.06839704
Iteration 403, loss = 0.06806465
Iteration 404, loss = 0.06794204
Iteration 405, loss = 0.06766667
Iteration 406, loss = 0.06749061
Iteration 407, loss = 0.06721595
Iteration 408, loss = 0.06706448
Iteration 409, loss = 0.06678169
Iteration 410, loss = 0.06663817
Iteration 411, loss = 0.06632204
Iteration 412, loss = 0.06620930
Iteration 413, loss = 0.06588788
