Iteration 1, loss = 1.95232352
Iteration 2, loss = 1.93371566
Iteration 3, loss = 1.91534534
Iteration 4, loss = 1.89720608
Iteration 5, loss = 1.87929225
Iteration 6, loss = 1.86159544
Iteration 7, loss = 1.84410628
Iteration 8, loss = 1.82681481
Iteration 9, loss = 1.80970996
Iteration 10, loss = 1.79277956
Iteration 11, loss = 1.77601090
Iteration 12, loss = 1.75939112
Iteration 13, loss = 1.74290758
Iteration 14, loss = 1.72654815
Iteration 15, loss = 1.71030146
Iteration 16, loss = 1.69415710
Iteration 17, loss = 1.67810568
Iteration 18, loss = 1.66213889
Iteration 19, loss = 1.64624931
Iteration 20, loss = 1.63043042
Iteration 21, loss = 1.61467646
Iteration 22, loss = 1.59898243
Iteration 23, loss = 1.58334404
Iteration 24, loss = 1.56775764
Iteration 25, loss = 1.55222017
Iteration 26, loss = 1.53672908
Iteration 27, loss = 1.52128225
Iteration 28, loss = 1.50587799
Iteration 29, loss = 1.49051494
Iteration 30, loss = 1.47519208
Iteration 31, loss = 1.45990868
Iteration 32, loss = 1.44466429
Iteration 33, loss = 1.42945875
Iteration 34, loss = 1.41429218
Iteration 35, loss = 1.39916496
Iteration 36, loss = 1.38407776
Iteration 37, loss = 1.36903147
Iteration 38, loss = 1.35402728
Iteration 39, loss = 1.33906657
Iteration 40, loss = 1.32415096
Iteration 41, loss = 1.30928227
Iteration 42, loss = 1.29446247
Iteration 43, loss = 1.27969371
Iteration 44, loss = 1.26497825
Iteration 45, loss = 1.25031845
Iteration 46, loss = 1.23571678
Iteration 47, loss = 1.22117574
Iteration 48, loss = 1.20669791
Iteration 49, loss = 1.19228590
Iteration 50, loss = 1.17794235
Iteration 51, loss = 1.16366991
Iteration 52, loss = 1.14947126
Iteration 53, loss = 1.13534906
Iteration 54, loss = 1.12130597
Iteration 55, loss = 1.10734463
Iteration 56, loss = 1.09346769
Iteration 57, loss = 1.07967774
Iteration 58, loss = 1.06597736
Iteration 59, loss = 1.05236910
Iteration 60, loss = 1.03885545
Iteration 61, loss = 1.02543889
Iteration 62, loss = 1.01212183
Iteration 63, loss = 0.99890662
Iteration 64, loss = 0.98579557
Iteration 65, loss = 0.97279091
Iteration 66, loss = 0.95989482
Iteration 67, loss = 0.94710939
Iteration 68, loss = 0.93443666
Iteration 69, loss = 0.92187855
Iteration 70, loss = 0.90943693
Iteration 71, loss = 0.89711358
Iteration 72, loss = 0.88491016
Iteration 73, loss = 0.87282828
Iteration 74, loss = 0.86086941
Iteration 75, loss = 0.84903496
Iteration 76, loss = 0.83732623
Iteration 77, loss = 0.82574439
Iteration 78, loss = 0.81429055
Iteration 79, loss = 0.80296569
Iteration 80, loss = 0.79177069
Iteration 81, loss = 0.78070634
Iteration 82, loss = 0.76977331
Iteration 83, loss = 0.75897217
Iteration 84, loss = 0.74830340
Iteration 85, loss = 0.73776735
Iteration 86, loss = 0.72736429
Iteration 87, loss = 0.71709438
Iteration 88, loss = 0.70695769
Iteration 89, loss = 0.69695420
Iteration 90, loss = 0.68708376
Iteration 91, loss = 0.67734616
Iteration 92, loss = 0.66774110
Iteration 93, loss = 0.65826818
Iteration 94, loss = 0.64892692
Iteration 95, loss = 0.63971676
Iteration 96, loss = 0.63063706
Iteration 97, loss = 0.62168712
Iteration 98, loss = 0.61286615
Iteration 99, loss = 0.60417330
Iteration 100, loss = 0.59560767
Iteration 101, loss = 0.58716830
Iteration 102, loss = 0.57885415
Iteration 103, loss = 0.57066415
Iteration 104, loss = 0.56259719
Iteration 105, loss = 0.55465209
Iteration 106, loss = 0.54682766
Iteration 107, loss = 0.53912264
Iteration 108, loss = 0.53153577
Iteration 109, loss = 0.52406574
Iteration 110, loss = 0.51671121
Iteration 111, loss = 0.50947082
Iteration 112, loss = 0.50234321
Iteration 113, loss = 0.49532696
Iteration 114, loss = 0.48842067
Iteration 115, loss = 0.48162291
Iteration 116, loss = 0.47493225
Iteration 117, loss = 0.46834725
Iteration 118, loss = 0.46186644
Iteration 119, loss = 0.45548838
Iteration 120, loss = 0.44921161
Iteration 121, loss = 0.44303467
Iteration 122, loss = 0.43695611
Iteration 123, loss = 0.43097448
Iteration 124, loss = 0.42508833
Iteration 125, loss = 0.41929623
Iteration 126, loss = 0.41359673
Iteration 127, loss = 0.40798843
Iteration 128, loss = 0.40246990
Iteration 129, loss = 0.39703975
Iteration 130, loss = 0.39169658
Iteration 131, loss = 0.38643902
Iteration 132, loss = 0.38126572
Iteration 133, loss = 0.37617532
Iteration 134, loss = 0.37116648
Iteration 135, loss = 0.36623791
Iteration 136, loss = 0.36138829
Iteration 137, loss = 0.35661635
Iteration 138, loss = 0.35192081
Iteration 139, loss = 0.34730044
Iteration 140, loss = 0.34275399
Iteration 141, loss = 0.33828026
Iteration 142, loss = 0.33387804
Iteration 143, loss = 0.32954617
Iteration 144, loss = 0.32528348
Iteration 145, loss = 0.32108883
Iteration 146, loss = 0.31696110
Iteration 147, loss = 0.31289917
Iteration 148, loss = 0.30890197
Iteration 149, loss = 0.30496841
Iteration 150, loss = 0.30109744
Iteration 151, loss = 0.29728802
Iteration 152, loss = 0.29353914
Iteration 153, loss = 0.28984979
Iteration 154, loss = 0.28621897
Iteration 155, loss = 0.28264573
Iteration 156, loss = 0.27912909
Iteration 157, loss = 0.27566813
Iteration 158, loss = 0.27226192
Iteration 159, loss = 0.26890954
Iteration 160, loss = 0.26561010
Iteration 161, loss = 0.26236271
Iteration 162, loss = 0.25916653
Iteration 163, loss = 0.25602068
Iteration 164, loss = 0.25292433
Iteration 165, loss = 0.24987666
Iteration 166, loss = 0.24687685
Iteration 167, loss = 0.24392410
Iteration 168, loss = 0.24101763
Iteration 169, loss = 0.23815666
Iteration 170, loss = 0.23534044
Iteration 171, loss = 0.23256821
Iteration 172, loss = 0.22983923
Iteration 173, loss = 0.22715277
Iteration 174, loss = 0.22450813
Iteration 175, loss = 0.22190460
Iteration 176, loss = 0.21934148
Iteration 177, loss = 0.21681809
Iteration 178, loss = 0.21433376
Iteration 179, loss = 0.21188784
Iteration 180, loss = 0.20947966
Iteration 181, loss = 0.20710859
Iteration 182, loss = 0.20477400
Iteration 183, loss = 0.20247526
Iteration 184, loss = 0.20021177
Iteration 185, loss = 0.19798292
Iteration 186, loss = 0.19578813
Iteration 187, loss = 0.19362680
Iteration 188, loss = 0.19149836
Iteration 189, loss = 0.18940225
